"","DV_Y","E1","E2","E3","E4","E5","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15"
"1",100.745774146191,-0.670526319697236,0.751755183464812,-2.25376458223101,-0.21532084006887,-0.280747863693262,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0
"2",101.124078692995,2.14517479628494,0.818571780337353,1.28987564517534,-1.65043107352397,0.616624046498973,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"3",100.087591271999,0.108090202240231,-1.1319227847958,0.546850368284804,1.40383612785436,-1.49734225293079,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1
"4",100.043552681638,-1.1857300909401,-0.888836473372198,-0.122346057980773,-0.933056251973964,-0.335903834719547,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1
"5",98.7727985840333,-1.24311102432422,-1.40187411149381,-0.156292478590091,-1.23143888094654,-0.981465278010982,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
"6",99.6541187972345,-0.865128178980262,-0.583220407891638,-0.809042356535203,2.20084797104189,1.52873280093392,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
"7",100.908192455165,-0.171312629973023,0.122377459486689,1.15863816014389,-0.699352059713329,0.967716814143301,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1
"8",101.067165217927,-2.65083071232792,-0.329454004151972,0.571287677072199,0.308848689984187,0.406246980540039,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0
"9",99.9847964948574,0.508473102446746,0.422413984758674,-0.208399705002325,0.281914535896929,-0.257242686063988,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1
"10",102.080194340176,-1.44352088073352,-0.455914922796919,0.175288072915384,0.905200939353591,0.569342882050161,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1
"11",99.743675757595,-0.0551654260225573,-0.270262978574911,0.225041362096518,0.0827818823783074,0.810210705432842,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0
"12",98.5078993271152,0.17704111102955,-1.00759966261263,0.699823225209259,-0.471068438107398,-0.648886677279151,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0
"13",101.208711607087,0.240402537683324,-0.148396446874329,1.11794598896899,0.0806966577162667,-0.811260417900522,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
"14",101.5267792089,0.91338732839533,0.276523242374907,-0.991247069698117,0.956082305403986,2.11777435143391,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"15",101.706822101697,1.05225671542654,0.443427796331588,-0.710512066740192,0.231546959112918,0.350104169470884,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
"16",101.402814133362,0.344956374617823,-0.531670951190791,1.03944552803908,0.472399348591396,-0.772919269583679,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
"17",97.772196683587,0.384502078713586,-0.64779491242734,0.86826497190064,0.0634752484488485,1.40956661284544,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0
"18",101.339554980232,0.442336893624775,0.898155255527076,1.23724026335529,-1.13689084691129,-0.744303093977367,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0
"19",97.0235174795962,0.994388987447608,-1.30881998169116,0.911318503901295,0.0355094229572758,0.44902862464543,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0
"20",100.859568834636,-0.981844791160725,-0.111803807596348,-0.276000581861104,-1.27764303092531,-0.209139727103395,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1
"21",100.141268958682,-0.412820217760344,0.300530044441828,0.324792810294992,-0.755730658932023,-1.37880710771856,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
"22",100.953446666352,-0.94539836094872,0.159286840334618,0.987619394208692,0.0425674282270641,-2.03424288813906,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0
"23",99.8537255852983,-1.26694534120914,-1.0309682182427,0.0418209797355789,0.924623367943019,-0.416795225368427,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"24",100.611360959996,-0.27352670855025,-0.437355327700952,-1.34921370537725,-0.589113899426516,-0.0613958125331225,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
"25",96.9010421633314,2.22825448117998,-2.26958019016662,-2.35227429853203,0.243164301756173,-0.397794567349736,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0
"26",99.3418908383941,1.19519628889912,-1.55033488246196,1.43421724759473,-1.37215624881433,-0.0843297619371623,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1
"27",100.615639594576,-0.590828192580995,-0.396772496681746,-0.227605754877532,0.825007255516979,-0.029578288355111,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1
"28",99.7605222860401,-1.13138870198418,-0.238534681410398,-1.24826129828516,0.00409211583653426,0.287364837519972,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0
"29",101.315361254923,2.23635558038438,0.151527517946897,1.43601580644897,-0.124076529410576,0.550881865579655,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0
"30",100.724074767779,0.616593973306163,0.122479180161712,-0.0310983976121761,0.96013523070744,0.662669194904405,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
"31",101.40779092074,-1.20715564480035,0.0102034890508497,0.568044142234483,-0.0487954983610777,-0.213884927820578,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0
"32",101.345468251241,-1.06778799194539,0.486050691887992,2.1971513970735,-0.339092927938768,-0.70556633313227,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0
"33",102.493790886102,-0.781261497443096,1.21931747782728,1.57968988823215,1.06321309053842,1.2119512761343,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0
"34",98.8341199662676,0.10748360696984,0.614147364786857,0.944369288532399,0.0903490231340284,1.18027583727034,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1
"35",101.407824179159,0.0155273484777813,0.0976877582064044,-0.814825636090593,-0.534443425317981,-0.274443892635879,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0
"36",104.674749935069,-0.857276981331025,0.237244170639544,5.88235947244697e-05,-0.0789666538678369,-0.709954525212959,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0
"37",100.76021647375,-1.19071886484062,-0.112045502886833,-0.169474084977242,1.63264330982455,0.157771608587661,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0
"38",98.4863102174009,1.16898171325906,-0.568639679361427,-0.00244493528487919,0.49716235719111,1.13648612228025,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0
"39",100.721340587468,-0.377979478051253,-1.22806310046376,-2.89951354512686,1.45893113557535,-0.227588802715578,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
"40",99.4947338458347,1.61518167682992,0.667364827606539,1.30646389444524,-1.63529749472981,0.165798019351211,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0
"41",100.043076511258,-0.110739851449736,-0.869267281636319,-0.423007261966154,-0.733859972306199,-0.568348484749753,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0
"42",100.394722971065,0.259055467167885,-0.954900290069731,0.873684703211295,0.575062429201837,-0.633786145156647,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1
"43",96.0419132987074,0.51423331765144,-1.64573554834729,0.827274757897192,0.673333044749107,1.1166674333068,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1
"44",102.672770930335,2.88407874782295,1.73041499774619,-0.866539822530216,0.480903322010665,0.817045625447588,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0
"45",100.117950157767,-0.114189547783515,-0.114135453297234,0.44237592102671,0.575699640656726,1.25787040385014,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"46",101.353458144238,-0.7511038121564,0.145826836516225,0.404433978872771,-1.67871980968433,1.46781263273058,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
"47",100.064144647081,0.461411988762957,0.533373662255664,0.13725167326406,-0.0190623106271934,1.98142643278637,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
"48",100.085482063235,-0.73780896353988,0.214758843932323,-0.329989481820159,0.872374725759357,-0.207056084496814,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1
"49",99.3040042630405,-1.29025763168459,-1.8354793642007,-0.366109986796878,0.724932819297228,-1.68662698347469,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0
"50",100.196901515758,-0.248491580101933,-1.28902298828425,0.0620608177211748,-2.23577241053085,-0.0249204933912171,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1
"51",97.0535392703698,-1.8372405477343,-0.752478159393929,1.89196029033378,0.0805158270284483,-0.0468267053388462,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0
"52",100.062822800317,0.454706993952656,-0.606419137772276,0.634679124179381,0.309040177946514,0.682465380488097,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1
"53",100.361333027934,-0.76422348570843,-0.464867228548369,-1.03675597083077,-0.296959718329007,-0.353489024882536,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
"54",98.0942083395056,-1.40712706615193,-2.41328429130837,-0.815927828017681,-0.892565969948871,0.0833028888768582,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0
